Name,Image URL 1,Description
Aroma 2 Basil,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5036.jpg,"    The standard for commercial growers with thick, dark green leaves. An improved Genovese type with 3"" leaves and strong fusarium wilt resistance. For field or greenhouse. Plants are 20-24"" tall. Superior characteristics to Aroma 1. From our partners at Genesis Seeds. Approx. 18,500 seeds/oz.  Holds well in field/storage Resists boltingOpen-Pollinated  Disease Resistance DetailsHigh Resistance: Fusarium Wilt
"
Bouquet Dill,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5060.jpg,"    The most widely-grown organic dill for fresh eating, flowers and seed heads. A versatile, early-maturing variety used for fresh leaves, seedhead production and cut flowers. Produces seed heads well ahead of others and right in time for summer pickles. Flowering umbels average 6"" wide. Approx. 15,000 seeds/oz.  Great for pickling 30"" tall Open-Pollinated
"
Caribe Cilantro,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5051.jpg,"    Dense bunches of aromatic dark green leaves on long-standing, bolt-tolerant plants. Compared to Santo, Caribe has a slightly thinner stem, higher vigor and seed emergence and better bolt tolerance in the field. A great choice for greenhouse growers, or anyone who wants a long-standing cilantro. From our partners at Bejo Seeds. Approx. 2,200 seeds/oz.   Good greenhouse crop  Bolt-tolerantOpen-Pollinated 
"
Catnip,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/6/0/6010-0.jpg,"    Beloved by cats but also an ornamental and medicinal with relaxing properties. Dry leaves for a year-round cat treat, leaving flowers as an offering for the bees. Scarify seeds to aid germination. Seeds can be direct sown as soon as soil can be worked. Transplants can be started 8-10 weeks before setting out. Approx. 46,000 seeds/oz.   Tea plant  Medicinal and ornamental Perennial Open-Pollinated
"
Chamomile,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/6/0/6021.jpg,"    Excellent dried tea herb with prolific displays of tiny, aromatic flowers.Self-seeding annual herb with sweet scented ,daisy-like flowers harvested and dried for herbal teas. Seeds are very small and should be sprinkled on top of soil medium and roughed in without burying them too deeply for best germination.AnnualProlific blossomsTea plantOpen-Pollinated
"
Chives,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5040.jpg,"    Medium to full-size leaves excellent for dressing up soups or as a garnish. Quick growing and a good choice for greenhouse growers or those who prefer a heavy chive. Great for freezing and drying. Similar to Staro. Can tolerate partial shade. Approx. 26,000 seeds/oz.   Excellent for processingHardy in Zones 3-8Open-Pollinated 
"
Cruiser Cilantro,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5014-0.jpg,"    Uniform plants with dark, glossy leaves, excellent flavor and impressive bolt resistance.  Plants have a tidy, upright growth habit with strong stems that are perfectly suited for bunching. Large leaves and even branching lead to quick and efficient harvests, making this variety especially desirable for fresh market sales. From our partners at CN Seeds. This variety is protected by a Utility Patent - learn more here. Approx. 3,800 seeds/oz.  UP Very slow to bolt Upright plant habit Open-Pollinated
"
Deep Purple Basil,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5011-0.jpg,"    Uniform stand of vibrant purple leaves with specialty appeal and sweet basil flavor.The dark purple leaves are situated evenly in an upright growth habit, making for easy harvest. Plants are pleasantly uniform and very rarely throw green off-types. Suited for baby leaf production, for containers and potted culture and for greenhouse and open field, commercial production. From our partners at Genesis Seeds.Low rate of green off-typesOpen-PollinatedDisease Resistance DetailsIntermediate Resistance: Downy Mildew, Fusarium Wilt
"
Dill Delight,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/5/0/5045-0.jpg,"    Compact plants of dense, three dimensional, aromatic and tender leaves with great bolt resistance.Edible leaves and flowers are mildly flavored and perfect for fresh preparations. This variety is easy to grow and has great field holding quality, allowing for an extended harvest. From our partners at CN Seeds.15M seeds/oz.Slow to boltExceptionally tender leavesOpen-Pollinated
"
Candy Stevia,https://www.highmowingseeds.com/media/catalog/product/cache/95cbc1bb565f689da055dd93b41e1c28/6/0/6030.jpg,"    Grow your own sweetener!Close to 300 times sweeter than sugar, this herbal alternative can be used fresh or dried, as a powder or a liquid. A tender perennial that can winter outside in zones 9 - 11 or be brought inside in pots to keep for winter use in colder climates. Bushy plants with strong yields of dried leaves. Transplant outdoors in spring after low temperatures are above 45°F. This variety is protected by a Utility Patent - learn more here. Approx. 75,000 seeds/oz. From our partners at Genesis Seeds.  Great in containers Tender perennialUPOpen-Pollinated 
"
