Name,Image_URL,Description
AJI RICO,//territorialseed.com/cdn/shop/products/PP730_450x.jpg?v=1597273641,"Capsicum baccatum 61 days. A new development in conventional breeding brings us this award-winning, marvel of a pepper. Aji Rico's 2 ½–4 inch long, conical fruit ripen surprisingly early, especially for a spicy variety. Its large, very vigorous plants produce bushels of green to red-when-ripe fruit that's breathtakingly citrusy and sweet with a clean, medium spice. A great candidate for enjoying fresh at any stage of maturity, dried or cooked."
AVALANCHE,//territorialseed.com/cdn/shop/products/BT148_450x.jpg?v=1597272228,"55 days. These AAS award-winning, snow white roots have all the sweetness of ordinary beets without any bitterness or strong, beety flavor that some folks find too potent to enjoy. At 2-3 inches in diameter, the roots are sized nicely for slicing and roasting, can be grated raw into salad, or juiced into the most lip-smacking juice. Avalanche is here to convert even the pickiest eater into a beet enthusiast! HR: C."
BAUER,//territorialseed.com/cdn/shop/products/LT411_450x.jpg?v=1635997933,"55 days. Defying classification, this unique introduction forms a nicely packed head of thick, green, oakleaf-shaped leaves. We love how substantial this lettuce is compared to the fragile and delicate texture of traditional oakleaf types. Compact plants offer lots of excellent eating, and the strong disease resistance makes it a garden champ! HR: DM 1–9, Nr 0, TBSV. IR: LMV 1."
BLACK BEAUTY,//territorialseed.com/cdn/shop/products/SQ790_450x.jpg?v=1597273295,"Cucurbita pepo 60 days. A great improvement over the old Black Zucchini. The 3–4 foot open bushes let you see the fruit before it becomes giant-sized. Best eaten when 6–8 inches long, the fruit is cylindrical, smooth, dark green, and straight. For a treat, dip blossoms in a beer batter and deep-fry."
BOPAK,//territorialseed.com/cdn/shop/products/OV589_450x.jpg?v=1597272767,"40 days. The first of its kind in many ways, Bopak produces picture-perfect heads of baby pak choi. Allowed to grow, it will continue to rapidly develop into a compact, upright, full-sized plant with 8 inch tall heads that measure 4 inches across. The tender, fleshy leaves are crisp and flavorful with wide, glossy ivory stems topped with deep green. Bopak is remarkably bolt resistant and is the first pak choi to earn an AAS award. HR: PB."
BRIGHT LIGHTS,//territorialseed.com/cdn/shop/products/SW853_450x.jpg?v=1597272908,"60 days. Individual stems are red, yellow, orange, gold, or white, and together they create a visual feast in your ornamental beds, in your vegetable garden, and at your dinner table. Bright Lights has lightly savoyed leaves, some are burgundy and some are green. Very mild flavors. These 20 inch wonders are a colorful accent for any meal!"
BUFFALOSUN,//territorialseed.com/cdn/shop/products/TM842_450x.jpg?v=1605910572,"80-85 days. Come for the heirloom looks, stay for the exceptional performance and quality, Old German-like fruit! A beefy, beautiful, big, 4 inch, pleated tomato with sunset-colored skin and flesh. Buffalosun has a sweet flavor and smooth texture. Healthy, indeterminate vines are very productive and continue well after many others have succumbed, thanks to its late blight resistance. HR: F 1-3, V. IR: LB, TSWV 0."
BUFFY,//territorialseed.com/cdn/shop/products/PP654_450x.jpg?v=1668557888,"75 days. Get ready for harvest baskets overflowing with hot peppers! The fruit from this extremely prolific plant burns, but not as hot as other Thai types. Very early to set fruit, this award-winning pepper will make your dishes sing. The juicy, 2 inch, thick-walled fruit emerge green and turn lipstick red when ripe."
BUSH DELICATA,//territorialseed.com/cdn/shop/products/SQ831_450x.jpg?v=1597272888,"Cucurbita pepo 80 days. This AAS winner has a tidy bush habit that spreads only about 4–6 feet. The 1 ½–2 pound oblong-shaped squash have creamy white skin with green stripes and flecks. Inside, the flesh is smooth and has a sweet nutty flavor with hints of brown sugar and butter. Tolerant of powdery mildew."
BUTTERCRUNCH,//territorialseed.com/cdn/shop/products/LT392_450x.jpg?v=1597272609,"48 days. Buttercrunch is similar to other bibb types but with thick, puckered, juicy green leaves and a small tight head. You'll appreciate Buttercrunch maintaining its sweetness during summer’s heat without turning bitter."
