Name,Image URL 1,Description,Image_URL
"Long Harvest Broccoli
              All Season Blend",,"We’ve mixed equal amounts of seed for these great-tasting, high-yielding hybrid varieties with early and later season maturities for the longest possible harvests. Plant and grow them together and you’ll be enjoying their sweet blue-green spears for weeks as they ripen in succession. We’ve chosen cultivars for flavorful, extra-fancy, tightly beaded main heads and abundant side shoots. All three have excellent disease resistance and weather tolerance. 

            
            
            
            
      			
              
                Seed Count: Approx. 117 / Weight: 470 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Early Heading Broccoli
              Batavia",,"EXCLUSIVE - Vigorous early broccoli with nutty sweet flavor. Large central heads are followed by multiple side shoots for extended harvests. Strong disease resistance and great garden performance.
            
            
            
            
      			
              
                Seed Count: Approx. 50 / Weight: 120 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Main Crop Broccoli
              Bravado",,"Count on this top-quality, high-yielding hybrid variety to reliably produce flavorful, tightly beaded, big, blue-green domed heads, followed by abundant crops of delicious side shoots to enjoy over a long extended season. Best of all, strong growing and disease-resistant new Bravado has excellent flavor and a crunchy texture that makes it perfect for a wide variety of cooking options: quick stirfries, steaming, roasting or cut up for healthy snacks with hummus or onion dip.         
            
            
            
            
      			
              
                Seed Count: Approx. 45 / Weight: 250 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Gai Lan/Chinese Broccoli
              Early Jade",,"Great tasting “superfood” Gai Lan is a cool season crop, ready to start harvesting in just 6 to 7 weeks. Its flavor is similar to fresh broccoli, but more mild and sweet and just delicious simply stirfried or quickly sautéed. Once you cut its thick, juicy stalks topped with edible buds and creamy blossoms, they will regrow for a second harvest. Besides flavor, Gai Lan is packed with vitamins and antioxidants. Grow your own; it’s hard to find in most markets!

            
            
            
            
      			
              
                Seed Count: Approx. 285 / Weight: 1.5 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Heirloom Broccoli Raab
              Early Rapini",,"Cool season Italian heirloom whose delicious dark green shoots, buds and leaves taste like broccoli with a real flavor punch. Vitamin-rich and very productive.
            
            
            
            
      			
              
                Seed Count: Approx. 875 / Weight: 2.5 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Heirloom Broccoli Raab
              Super Rapini",,"EXCLUSIVE – Also known as “cima di rapa” or “rapini,” this robust and rich-tasting traditional Italian heirloom is a quick growing, cool season favorite. Broccoli Raab produces an abundance of deep green leaves and
tender shoots topped with tiny bud clusters. Enjoy these full-flavored greens sautéed
in olive oil and garlic as Italian food lovers have for time immemorial. We import our “Sessentina” seed selection directly from Italy, so you can rely on its freshness and authenticity.
            
            
            
            
      			
              
                Seed Count: Approx. 500 / Weight: 2 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Brussels Sprouts
              Hestia",,"Extra-fancy variety bred for flavor and productivity offers heavy yields of solid, crunchy, bright green sprouts. Plants are burst and rot resistant and easily withstand early frosts for extended harvesting. 
            
            
            
            
      			
              
                Seed Count: Approx. 25-27 / Weight: 150 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Napa/Chinese Cabbage
              Emiko",,"Big, dense, full-sized 12 inch heads with tightly wrapped, blemish-free outer leaves and light green to creamy white interiors. These crisp, juicy, heavy heads have a delicious mild, sweet flavor. Enjoy in quick stirfries, weeknight sautés, everyday salad making, or shredded for slaws and tacos. Perfect for Kimchi! Heads stand well in the garden to harvest over time. With its unbeatable disease resistance package, Emiko grows well in a wide range of climates and weather conditions.
            
            
            
            
      			
              
                Seed Count: Approx. 85 / Weight: 250 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Pointed Sweetheart Cabbage
              Conehead",,"EXCLUSIVE – A traditional European specialty, these handsome cabbages have a solid, rounded, tightly wrapped base of leaves that taper to a point. Flavor is consistently mild and remarkably sweet. Enjoy Conehead’s great fresh flavor and crunchy texture sliced up in salads, shredded for coleslaw, or quickly sauté with a little cumin or caraway seeds, or add to tasty stirfries. Heads grow quickly and are uniform and heavy for their size with strong wrapper leaves and great weather tolerance.
            
            
            
            
      			
              
                Seed Count: Approx. 105 / Weight: 330 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Baby Napa Cabbage
              Little Jade",,"EXCLUSIVE - Our top-quality mini Napa or ""Chinese"" cabbage has juicy, tangy-sweet flesh and a delicious cool and crispy texture. Extremely vigorous, with excellent disease resistance, Little Jade plants form dense, vase-shaped 8 to 10 inch heads. Enjoy the versatile and nutritious crunchy stalks as a snack, with dips or in coleslaw. Stirfry for everyday meals; sauté quickly with garlic and ginger and add a handful of toasted peanuts or cashews and a splash of hot sauce. Or consider making your own kimchi!
            
            
            
            
      			
              
                Seed Count: Approx. 68 / Weight: 250 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Napa Cabbage
              Purple Express",,"EXCLUSIVE - Our top-quality, totally gorgeous, deep purple-red Napa cabbage is imported from Korea. Because of its knockout deep purple color, Purple Express has an extremely high level of antioxidants, so enjoy its tangy-sweet, crunchy flesh knowing you are doing your body some real good! The heavy, dense heads are big, 10 to 12 inches tall, with excellent vigor and disease resistance, Enjoy in salads, with dips or in coleslaw. A color sensation for stirfry! Consider making your own kimchi!
            
            
            
            
      			
              
                Seed Count: Approx. 54 / Weight: 150 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Baby Cabbage
              Pixie",,"Our space-saving, early maturing baby cabbage variety quickly forms compact, dense little 5 inch heads, a perfect size for everyday meals. The tightly packed, crispy green heads have a delicious sweet flavor. Enjoy out of hand or chopped for salads or tacos, sautéed with ginger and soy sauce or a bit of butter and a pinch of caraway or cumin seed. Strong growing Pixie can take both heat or frosty weather so you can plant several times each season.
            
            
            
            
      			
              
                Seed Count: Approx. 90 / Weight: 400 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"French Baby Carrots
              Babette",,"Carefully bred in France for full sweet flavor and uniformly deep orange flesh, new Babette baby carrots offer American gardeners top quality and great versatility. They germinate and grow quickly in the garden with a smooth cylindrical shape and blunt tips. Pull Babettes by their vigorous foliage for true “mini” carrots at 3 to 4 inches long or leave them to size up. Either way these fine-fleshed carrots make delicious, healthy eating raw or quickly cooked.
            
            
            
            
      			
              
                Seed Count: Approx. 685-695 / Weight: 750 mg",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Crispy French Carrots
              Bolero Nantes",,"These well-bred new Nantes carrots have a slender, 6 to 7 inch long, perfectly cylindrical shape with blunt tips. Boleros are a beautiful deep orange with consistently sweet flavor and juicy brittle texture, perfect to harvest either full sized or as slim elegant baby carrots. They mature quickly with smooth skins that need little peeling and fine textured crispy flesh. Bolero is a fine French delicacy to savor fresh from your garden.
            
            
            
            
      			
              
                Seed Count: Approx. 375-380 / Weight: 1 g / Alternaria tolerant",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Tricolor Carrots
              Circus Circus",,"EXCLUSIVE – Our trio of colored carrots are creamy white, bright orange and a deep, dark purple with orange centers. All three are crisp, smooth and evenly cylindrical, growing to 8 inches long for a colorful harvest of festive roots. Their flavor is reliably sweet with a nice crunchy texture and you’ll enjoy this mix over a long season. Cut all three into carrot sticks or slice/shred into salads for a good tasting party of colors.

Equal parts:
White Satin F1, Mokum F1, Purple Rain F1
            
            
            
            
      			
              
                Seed Count: Approx. 500-600 / Weight: 800 mg",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Rainbow Carrots
              Harlequin Mix",,"EXCLUSIVE – Our choice mix of great tasting carrots in a kaleidoscope of fun colors includes orange, yellow, white and purple roots. Each color tastes subtly different and has different antioxidants, so you’re getting a lot of healthy eating from one packet. In addition to their eye candy colors, these are excellent all-purpose Dutch Nantes carrots with sweet, brittle, aromatic flesh that is first-rate for eating and juicing. They mature early, with strong tops that make them easy to harvest.
            
            
            
            
      			
              
                Seed Count: Approx. 860-865 / Weight: 700 mg",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Long Sweet Carrots
              King Midas",,"EXCLUSIVE – Strike it rich with these long, handsome, sweet carrots. Our favorite in the Imperator hybrid class, King Midas offers large size and rich, fully developed carrot flavor. The vigorous roots grow steadily into smooth, nearly coreless 8 to 9 inch beauties, slightly tapered with pointed tips. The well-filled carrots have the deep orange flesh that indicates an especially high level of health enhancing beta-carotene. Slice them into abundant crunchy carrot stick snacks or fat carrot “coins” to lightly steam, sauté or stirfry.
            
            
            
            
      			
              
                Seed Count: Approx. 500 / Weight: 750 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Rainbow Carrots
              Purple Sun",,"Whether you eat them raw or cooked, what we love about these great-looking, big dark purple carrots from Holland is that they grow vigorously and combine wonderful color, excellent sweet flavor and a crisp texture. These plump, conical carrots size up nicely and taper evenly from rounded shoulders to pointed tips. At the core is a little yellow sun. Purple Sun carrots are loaded with antioxidant flavonoids, so they taste great and offer real health benefits.
            
            
            
            
      			
              
                Seed Count: Approx. 405-410 / Weight: 550 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Top Flavor Carrots
              Romance",,"Highly productive, glowing orange carrots with crisp flesh and especially well-rounded, sweet flavor. Romance is a strong producer of heavy carrots with sturdy tops; grows well in all climate zones.
            
            
            
            
      			
              
                Seed Count: Approx. 1550 / Weight: 1.25 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Round Baby Carrots
              Romeo",,"EXCLUSIVE – These petite, ball-shaped beauties are extra-tasty morsels to enjoy in just a few bites with excellent sweet flavor and crunchy texture. Delicious little Round Romeos have smooth-skinned orange flesh that needs no peeling; it's fun to eat them right in the garden. These baby gourmet carrots are perfect for containers because they don't need deeply prepared soil like other carrot root crops. Romeo carrots are easy to grow and perform well for both spring and fall planting.
            
            
            
            
      			
              
                Seed Count: Approx. 1500 / Weight: 1.5 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Snacking Carrots
              Rotild",,"EXCLUSIVE – Fine Nantes carrot has classic long, cylindrical shape with blunt ends. This widely adopted variety is reliable to grow with great flavor and crispy orange flesh.
            
            
            
            
      			
              
                Seed Count: Approx. 1680 / Weight: 1.25 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Chantenay Carrots
              Short Stuff",,"Great-tasting, sweet and crunchy Chantenay carrot with fat, husky, tapering triangular roots that grow just 4 inches long. These plump beauties are fine-fleshed, juicy & bright orange to the core. They are wonderful fresh eating carrots. Because of their shorter length and impressive vigor, Short Stuff carrots are great for areas with heavy soils. Also perfect for planting in container gardens; use pots at least 12-15 inches deep and feed and water regularly for sweet roots.
            
            
            
            
      			
              
                Seed Count: Approx. 1550 / Weight: 1.5 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Nantes Carrots
              Starica",,"EXCLUSIVE – Easy to grow, crunchy-sweet Dutch carrots with fine textured, sweet tasting orange flesh. Perfect all round carrot for snacks, salads, juice or sautés.
            
            
            
            
      			
              
                Seed Count: Approx. 1550 / Weight: 1.25 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Yellow & Orange Carrots
              Sunshine Mix",,"Our novelty mix offers gardeners the fun of growing both sunny yellow and bright orange carrots. You’ll have eye-catching rich harvests of crisp, smooth, evenly cylindrical roots that reach a full 8 inches in length. Both of these premium European varieties taste sweet and crispy with no soapy off-flavors and you can enjoy them over a long harvest period. Whether fresh sliced into carrot sticks, or quickly cooked, their sunshine bright colors are a kitchen gardener’s delight!

Equal parts: Yellowstone & Nantes Forto
            
            
            
            
      			
              
                Seed Count: Approx. 480-500 / Weight: 1 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Cauliflower
              Amazing Taste",,"EXCLUSIVE - This outstanding variety yields dense, 6 to 7 inch, dome-shaped heads with
tender, creamy-white curds and superb mild, nutty-sweet flavor. These top quality hybrid plants grow quickly, producing strong outer wrapper leaves
that protect both the quality and color of the developing
cauliflowers for harvestable heads extra early in the season.
The heads are delicious
whether cut up raw in salads,
quickly steamed, or tossed
with olive oil and roasted
to nutty perfection.
            
            
            
            
      			
              
                Seed Count: Approx. 45-50 / Weight: 250 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Floret Cauliflower
              Fioretto",,"This unique and delicious new cauliflower forms loose cream-colored heads, specially bred to divide into perfect individual florets without waste or mess when sliced in the kitchen. Fioretto cauliflower is also more heat tolerant than other cauliflowers, extending the season for this popular and delicious vegetable. Fioretto’s flavor is mild, sweet and nutty, whether you enjoy these tasty florets in salads, with dips, or quickly steamed, sautéed or oven roasted to delectable perfection.
            
            
            
            
      			
              
                Seed Count: Approx. 21 / Weight: 100 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Cauliflower
              Purple Crush",,"This top-quality new cauliflower grows smoothly into big domed heads with a beautiful rich purple color and superb mild, nutty, sweet flavor. Purple Crush really looks sensational in the garden, and in the kitchen, the purple florets offer both extra antioxidants and great taste. This vigorous new variety can be planted in both early spring and midsummer for abundant fall harvests. Enjoy the crisp florets cut up raw, lightly steamed with butter, or toss with olive oil and roast to nutty perfection.
            
            
            
            
      			
              
                Seed Count: Approx. 40 / Weight: 120 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Celeriac/Celery Root
              Prinz",,"EXCLUSIVE - A European staple gaining popularity here, celeriac (a.k.a. celery root) produces big, solid knobby roots just above the ground. Once peeled, the white flesh has the flavor of mild celery and parsley. Our German-bred Prinz offers nutty, sweet flavor, fine texture and reliable, big yields that hold for harvest well in the garden. Shred celeriac for salads with a mayonnaise, lemon and mustard dressing, or cut up and simply roast or braise or add to soups and stews. 
            
            
            
            
      			
              
                Seed Count: Approx. 600 / Weight: 300 mg",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Stalk Celery
              Merlin",,"Merlin is a wonderful European variety developed especially for home gardens. These early producing, vigorous plants reliably yield tall 12 inch tender stalks. Enjoy Merlin right from the garden as an easy, cooling treat, and harvest the juicy stalks for fresh salads or crunchy sweet snacks. Add them to soups, stews and many other dishes. Air dry the leaves to use in winter cooking. Celery is an excellent source of vitamin K as well as folate and potassium.
            
            
            
            
      			
              
                Seed Count: Approx. 778 / Weight: 350 mg",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Container Chard
              Pot of Gold",,"Our Pot of Gold is tasty, showy and easy to grow, with brilliant golden stems and contrasting, deep green savoyed leaves. Delicious, reliable and highly ornamental, it is a perfect choice for container growing. These vigorous plants thrive in all climate zones to grace patio or small space gardens. They are also a striking addition to mixed beds and borders. You will enjoy mild- flavored, crunchy chard in the kitchen from spring through late fall.
            
            
            
            
      			
              
                Seed Count: Approx. 100 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Rainbow Chard
              Bright Lights",,"Our unique All America award winning chard dons a coat of many colors! The green leaves and crunchy stalks come in a vivid rainbow of yellow, crimson, gold, pink and white with an occasional gorgeous stem of orange. Originally from New Zealand heirloom stock, Bright Lights chard has a sweeter and milder flavor than ordinary varieties. Grow this tasty, nutritious and highly ornamental variety for delicious eating over a long season of productive harvests. 
            
            
            
            
      			
              
                Seed Count: Approx. 180 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Heirloom Chard
              Garden Rainbow",,"EXCLUSIVE - Colorful, long-standing heirloom with green leaves and crunchy stalks that show off in a rainbow of colors, including red, pink, white, and gold.
            
            
            
            
      			
              
                Seed Count: Approx. 245 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Heirloom Chard
              Italian Silver Rib",,"EXCLUSIVE - A long-time favorite of Italian cooks for its flavor and substance, this fine variety has wide, crisp, silvery-white midribs and crinkled, shiny green leaves. The large-framed, handsome plants grow easily and vigorously from spring through late fall. Heirloom Silver Rib produces an abundance of big succulent leaves with sweet crunchy stalks to enjoy as mild, mellow-tasting greens. You’ll find it consistently delicious simply steamed with fresh lemon, sautéed with aromatics or added to stir-fries, soups, and casseroles. 
            
            
            
            
      			
              
                Seed Count: Approx. 155-165 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Rainbow Chard
              Neon Glow",,"EXCLUSIVE – Simply WOW! in the garden. Our eye-catching color combo has gorgeous magenta and gold stalks in vivid colors that contrast beautifully with deep green, savoyed leaves. Neon Glow chard was carefully selected from multicolored New Zealand heirloom chard, so you’ll find it’s flavor sweeter and milder tasting than ordinary green varieties. Grow this “edible landscaping” chard for bright color and delicious eating over a long season. A striking addition to both vegetable and flower beds.
            
            
            
            
      			
              
                Seed Count: Approx. 68 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Gourmet Chard
              Peppermint Stick",,"EXCLUSIVE - This striking new edible landscaping chard has crispy two-toned stalks striped in hot pink and white that are eye-catching against their vibrant green leaves. Harvest at the baby leaf stage for salads and then let the plants mature into beautiful, big-framed ornamental plants you can harvest and enjoy for months. Peppermint Stick is equally at home in vegetable gardens or flower beds. These bolt resistant plants stand up well to hot weather. 
            
            
            
            
      			
              
                Seed Count: Approx. 115 / Weight: 2.25 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Gourmet Ruby Chard
              Scarlet Charlotte",,"Our newer selection of this American classic will delight both your eye and appetite. The wide crunchy stalks and leaf veins are a gorgeous magenta red that contrasts perfectly with the deep green savoyed leaves. This highly ornamental and weather tolerant chard’s vibrant color lights up the garden and will be equally at home in both your vegetable and flower beds. In the kitchen, the pretty leaves and stalks are versatile, succulent and good tasting.

            
            
            
            
      			
              
                Seed Count: Approx. 100 / Weight: 3 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Tender Chard
              Special Baby Leaf",,"EXCLUSIVE – Our crispy, nutty-flavored Baby Leaf chard is the fastest growing and best tasting, whether you use it in salads or steam, stirfry or braise its handsome green leaves. Easily grown by the “cut and come again” method, seeds are sown thickly, then cut as needed at 4-5 inches tall, leaving crowns to regrow for multiple additional harvests. With its tender texture and milder flavor, baby leaf chard makes wonderful garden- fresh salads.
            
            
            
            
      			
              
                Seed Count: Approx. 779 / Weight: 9.5 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Gourmet Collards
              Green Flash",,"Easy to grow Green Flash forms dense, 18 inch tall rosettes of thick, tender, big paddle-shaped leaves. This top-notch variety offers uniformity, vigor, high yields and bolt resistance for rapid regrowth and longer, more dependable harvests. Cut the handsome leaves often to enjoy their flavorful, sweet taste as succulent cooked greens. Mild, nutty-tasting collards are one of the most fiber and vitamin-rich vegetables you can grow in your home garden.
            
            
            
            
      			
              
                Seed Count: Approx. 75-80 / Weight: 400 mg / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Early Bicolor Corn
              Bon Jour",,"EXCLUSIVE – Bon Jour is productive and early bearing, yielding luscious ears of rich tasting creamy-white and golden-yellow kernels a week before most other varieties. This vigorous new hybrid has 6 to 7 foot stalks with top quality, well filled ears, each with 14 to 16 rows of juicy kernels. Best of all, ears stay sweet and tender for an extended harvest when you don’t want to pick them all at once. Once picked, they hold their sweet flavor for a week.
            
            
            
            
      			
              
                Seed Count: Approx. 70-75 / Weight: 12 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Sweet Early Corn
              Casino",,"EXCLUSIVE - Casino is a proven winner for earliness and quality with a perfect taste balance of sweetness and full corn flavor. This fine new hybrid has short, 4 to 5 foot stalks that bear top quality, 7-inch ears, each filled with 14 to 16 rows of sunny yellow, juicy kernels. Casino grows quickly, ripening plump ears a week before most other varieties and its golden cobs will hold their sweet flavor for days after harvest. Casino will satisfy all your sweet corn cravings! 
            
            
            
            
      			
              
                Seed Count: Approx. 52 / Weight: 10 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Bicolor Corn
              Luscious",,"Early and productive bi-color corn known for its great eating quality and high yields of plump ears whose sweet, tender kernels hold their succulent sweetness after harvest.
 

            
            
            
            
      			
              
                Seed Count: Approx. 50 / Weight: 8 g / F-1 Hybrid",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
"Heirloom Popcorn
              Mini Pink Pearls",,"EXCLUSIVE – Both delicious and decorative! The lustrous pink kernels of Mini Pink Pearls pop up easily and completely into fluffy white, crunchy, tender popcorn you’ll love for healthy snacking. Each 5-6 foot stalk has multiple 4-6 inch ears that mature extra early, so you can successfully grow your own popcorn even in short summer seasons. Enjoy an abundant harvest with just a small popcorn patch in the garden. This pretty, tasty popcorn was developed at the Bisek family farm in Minnesota.
            
            
            
            
      			
              
                Seed Count: Approx. 75 / Weight: 10 g",//www.reneesgarden.com/cdn/shop/t/95/assets/renees-garden-square.png?v=153523041165464904601689719570
