Seed Name,Temperature (2 m),Precipitation,Soil Temperature (0 to 6 cm),Soil Moisture (0-3 cm),Sunshine Duration,Humidity,Soil Type,Watering (per week)
"Sunflower, Procut Horizon Pollenless",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Procut Peach",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Procut Red Lemon BiColor Pollenless",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Autumn Beauty (90 days)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Black Oil Hybrid (Perodovik Sunflower)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Lemon Queen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Russian Mammoth (105 days)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Sungold Dwarf",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Velvet Queen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Butterfly Milkweed (Asclepias Tuberosa),24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Moonflower,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Phlox, Mixed Colors (Annual)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Poppy, CA Formula",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Poppy, Orange",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Poppy, Red Corn",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Butterfly Milkweed (Asclepias Tuberosa),24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Moonflower,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hummingbird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Aster, Powderpuff (Callistephus chinensis)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Butterfly Milkweed (Asclepias Tuberosa),24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Chrysanthemum Garland, Coronarium (Mum)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Deer Resistant Flower Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Four O’clock Rose,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Moonflower,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Nasturtium, Jewel Mix",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Shasta Daisy,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Verbena, Mixed Florist Mix",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Bird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
