Seed Name,Temperature (2 m),Precipitation,Soil Temperature (0 to 6 cm),Soil Moisture (0-3 cm),Sunshine Duration,Humidity,Soil Type,Watering (per week)
Black Eyed Susan,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Coneflower, Purple",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Cosmos, Sensation",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Cut Flower Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fragrant Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hummingbird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Johnny Jump-Up “Helen Mount”, (Viola), Annual",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Alfalfa, American Double Eagle Brand",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Alfalfa, Variety Not Specified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Alfalfa, American Eagle Brand",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Barley, Orwell Spring",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Bromegrass, Smooth",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Canarygrass, Triatholon Reed",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, Alsike",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, Ladino",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, Crimson",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, Medium Red, VNS",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, White Dutch",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Clover, Yellow Blossom",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Rye (Grain) VNS,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Timothy, Climax",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Trefoil, Norcen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Crown Vetch, Penngift",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Vetch, Hairy",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Orchardgrass, Alpine II",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Orchardgrass, Devour",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Orchardgrass, Potomac",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Winter Peas, Austrian",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Rape,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sorghum, Green Grazer",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Sorghum Grain, Heading",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Chufa,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
"Oats, Kara",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Rape,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
